"1","0400121010","University of Alabama Medical Center Program","10","Birmingham","Alabama",,,,,,NULL,NULL,NULL,"no","no",NULL,NULL,NULL,NULL,NULL
"2","0400321012","University of Arizona College of Medicine-Tucson Program","10","Tucson","Arizona",,,,,,NULL,NULL,NULL,"no","no",NULL,NULL,NULL,NULL,NULL
"3","0400331197","Mayo Clinic College of Medicine (Arizona) Program","10","Phoenix","Arizona",,,,,,NULL,NULL,NULL,"no","no",NULL,NULL,NULL,NULL,NULL
"4","0400421013","University of Arkansas for Medical Sciences Program","10","Little Rock","Arkansas",,,,,,NULL,NULL,NULL,"no","no",NULL,NULL,NULL,NULL,NULL
"5","0400500027","Riverside County Regional Medical Center Program","10","Moreno Valley","California",,,,,,NULL,NULL,NULL,"no","no",NULL,NULL,NULL,NULL,NULL
"6","0400511026","Los Angeles County-Harbor-UCLA Medical Center Program","10","Torrance","California",,,,,,NULL,NULL,NULL,"no","no",NULL,NULL,NULL,NULL,NULL
"7","0400521006","Naval Medical Center (San Diego) Program","10","San Diego","California",,,,,,NULL,NULL,NULL,"no","no",NULL,NULL,NULL,NULL,NULL
"8","0400521014","University of California (Davis) Health System Program","10","Sacramento","California",,,,,,NULL,NULL,NULL,"no","no",NULL,NULL,NULL,NULL,NULL
"9","0400521015","University of California (Irvine) Program","10","Orange","California",,,,,,NULL,NULL,NULL,"no","no",NULL,NULL,NULL,NULL,NULL
"10","0400521016","Loma Linda University Health Education Consortium Program","10","Loma Linda","California",,,,,,NULL,NULL,NULL,"no","no",NULL,NULL,NULL,NULL,NULL
"11","0400521018","University of Southern California/LAC+USC Medical Center Program","10","Los Angeles","California",,,,,,NULL,NULL,NULL,"no","no",NULL,NULL,NULL,NULL,NULL
"12","0400521019","Cedars-Sinai Medical Center Program","10","Los Angeles","California",,,,,,NULL,NULL,NULL,"no","no",NULL,NULL,NULL,NULL,NULL
"13","0400521020","UCLA Medical Center Program","10","Los Angeles","California",,,,,,NULL,NULL,NULL,"no","no",NULL,NULL,NULL,NULL,NULL
"14","0400521022","University of California (San Diego) Program","10","San Diego","California",,,,,,NULL,NULL,NULL,"no","no",NULL,NULL,NULL,NULL,NULL
"15","0400521023","University of California (San Francisco) Program","10","San Francisco","California",,,,,,NULL,NULL,NULL,"no","no",NULL,NULL,NULL,NULL,NULL
"16","0400521025","Stanford University Program","10","Stanford","California",,,,,,NULL,NULL,NULL,"no","no",NULL,NULL,NULL,NULL,NULL
"17","0400721028","University of Colorado Program","10","Aurora","Colorado",,,,,,NULL,NULL,NULL,"no","no",NULL,NULL,NULL,NULL,NULL
